frame,method_a_pixels,method_b_pixels,iou,thin_tube_recall
0,1770,1872,0.9048117154811716,0.8860971524288107
51,1629,1796,0.9038354641467482,0.880517503805175
102,1825,2025,0.9012345679012346,0.8343296327924851
153,1979,2143,0.9234717685487634,0.8751987281399046
204,1852,2006,0.9184485330681254,0.8988954970263382
255,323,341,0.9472140762463344,0.9196428571428571
306,1725,1858,0.9211796246648793,0.8988355167394468
357,436,477,0.9140461215932913,0.8901098901098901
408,43,43,1.0,1.0
459,1997,2094,0.9471680152308425,0.9443390259329538
510,2589,2833,0.9138722202612072,0.8912630579297246
561,1188,1304,0.911042944785276,0.8999008919722498
612,286,299,0.9565217391304348,0.9458333333333333
